sigla,governador,populacao,area,idh,renda_per_capita,total_veiculos,matricula_ensino_fundamental,total_desp_bru_empenhadas,total_rec_b_realizada
AC,GLADSON DE LIMA CAMELI   ,830018,164173.429,0.71,1095,350273,147350,10302403420.85,11137410342.21
AL,PAULO SURUAGY DO AMARAL DANTAS   ,3127683,27830.661,0.684,1110,1095144,439014,17963587096.92,20927817222.51
AP,CLÉCIO LUÍS VILHENA VIEIRA   ,733759,142470.762,0.688,1520,242574,131948,8505172844.49,11249572238.02
AM,WILSON MIRANDA LIMA   ,3941613,1559255.881,0.7,1172,1130055,692623,30029370828.75,33030751885.07
BA,JERÔNIMO RODRIGUES SOUZA   ,14141626,564760.429,0.691,1139,5120353,1865574,77868037416.52,80290524858.16
CE,ELMANO DE FREITAS DA COSTA   ,8794957,148894.447,0.734,1166,3753826,1134636,37423640356.93,46124793433.02
DF,IBANEIS ROCHA BARROS JÚNIOR   ,2817381,5760.784,0.814,3357,2083081,361438,33897143557.68,36479338564.35
ES,JOSÉ RENATO CASAGRANDE   ,3833712,46074.448,0.771,1915,2357061,498357,25098719258.87,34291544903.51
GO,RONALDO RAMOS CAIADO   ,7056495,340242.859,0.737,2017,4726950,868222,39420594475.73,57825598739.32
MA,CARLOS ORLEANS BRANDÃO JÚNIOR   ,6776699,329651.496,0.676,945,2132527,1045700,24496014978.83,31379701580.17
MT,MAURO MENDES FERREIRA   ,3658649,903208.361,0.736,1991,2695548,507089,37014020738.27,54372352372.25
MS,EDUARDO CORREA RIEDEL   ,2757013,357142.082,0.742,2030,1893634,393616,24358822183.06,33155489102.0
MG,ROMEU ZEMA NETO   ,20539989,586513.983,0.774,1918,13481706,2343279,110408991645.56,138168422501.96
PA,HELDER ZAHLUTH BARBALHO   ,8120131,1245870.704,0.69,1282,2627090,1331723,43981234831.53,52747856526.44
PB,JOÃO AZEVEDO LINS FILHO   ,3974687,56467.242,0.698,1320,1593744,523996,17883420827.99,23462797714.09
PR,CARLOS ROBERTO MASSA JUNIOR   ,11444380,199298.981,0.769,2115,8838800,1365869,67607620659.63,92067885773.5
PE,RAQUEL TEIXEIRA LYRA LUCENA   ,9058931,98067.877,0.719,1113,3568386,1229419,48872197159.8,53294049711.5
PI,RAFAEL TAJRA FONTELES   ,3271199,251755.481,0.69,1342,1449658,439111,20000924386.53,22928941802.89
RR,ANTONIO OLIVERIO GARCIA DE ALMEIDA   ,636707,223644.53,0.699,1425,275703,111096,7473220866.93,8846153006.77
RO,MARCOS JOSÉ ROCHA DOS SANTOS   ,1581196,237754.172,0.7,1527,1197221,227246,13605769496.55,17855762489.37
RJ,CLÁUDIO BOMFIM DE CASTRO E SILVA   ,16055174,43750.425,0.762,2367,7705012,1945098,102289960365.4,121957245523.51
RN,MARIA DE FATIMA BEZERRA   ,3302729,52809.599,0.728,1373,1554064,437133,19486967053.93,22703397803.27
RS,EDUARDO FIGUEIREDO CAVALHEIRO LEITE   ,10882965,281707.151,0.771,2304,8075318,1255794,78352533473.39,88012101405.33
SC,JORGINHO DOS SANTOS MELLO   ,7610361,95730.69,0.792,2269,6189405,941272,43927295658.78,61440241790.39
SP,TARCISIO GOMES DE FREITAS   ,44411238,248219.485,0.806,2492,33264096,5343271,328315580393.5,343634435413.4
SE,FÁBIO CRUZ MITIDIERI   ,2210004,21938.188,0.702,1218,951523,305930,13470989190.76,17151927623.32
TO,WANDERLEI BARBOSA CASTRO   ,1511460,277423.627,0.731,1581,874905,222404,15873514926.43,20836869522.78
